stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"147","147","S.V. Caniga S. Giorgio Km 2,300 civ. 58","","40.7052","8.4948","","","","","",""
"148","148","S.V. Caniga S. Giorgio Km 2,600 civ. 64","","40.7037","8.49092","","","","","",""
"149","149","S.V. Caniga S. Giorgio Km 3,100 f.U.S.SS","","40.7018","8.4867","","","","","",""
"15","15","Via Caniga civico 1","","40.7277","8.5468","","","","","",""
"150","150","S.V. Caniga S. Giorgio Km 3,400 fr. 139","","40.7006","8.48362","","","","","",""
"151","151","V. Luna e Sole (Bowling)","","40.7246","8.57468","","","","","",""
"152","152","V. Luna e Sole Fr. (Banco di Sardegna)","","40.7243","8.57698","","","","","",""
"153","153","V. Luna e Sole Civico 5","","40.7239","8.57853","","","","","",""
"154","154","V. Luna e Sole Civico 21","","40.7227","8.58233","","","","","",""
"155","155","V. Togliatti Civico 14","","40.7216","8.58385","","","","","",""
"156","156","V. Togliatti Fr.Scuole","","40.7213","8.58058","","","","","",""
"157","157","V. Gramsci Fr. Civico 6","","40.72","8.57794","","","","","",""
"158","158","V. Coradduzza Civico 3","","40.7178","8.578","","","","","",""
"159","159","V. Garzia Fr. Civico 5","","40.717","8.57648","","","","","",""
"16","16","Corso  Reg. Margherita di Savoia Civico","","40.7239","8.56052","","","","","",""
"160","160","V. Coradduzza (Lato Palestra Coni)","","40.7176","8.57808","","","","","",""
"161","161","V. Gramsci Civico 2 (Lato Multimarkets)","","40.7196","8.57798","","","","","",""
"162","162","V. Togliatti (Lato Scuole) in discesa","","40.7214","8.58058","","","","","",""
"163","163","V. Togliatti Fr. Civico 14","","40.7216","8.58395","","","","","",""
"164","164","V. Luna e Sole Fr. Civico 21","","40.7229","8.58187","","","","","",""
"165","165","V. Luna e Sole Fr. Civico 1","","40.7242","8.57815","","","","","",""
"166","166","V. Paglietti (Lato Scuole)","","40.724","8.57578","","","","","",""
"167","167","V. De Carolis Fr Civico 19","","40.724","8.57318","","","","","",""
"168","168","V. De Carolis Fr Civico 7","","40.7254","8.57155","","","","","",""
"169","169","V. De Carolis Fr Civico 37","","40.7237","8.57515","","","","","",""
"17","17","Corso  Regina Margherita di Savoia Arciv","","40.7253","8.55795","","","","","",""
"170","170","Capolinea V. Luna e Sole","","40.7252","8.5727","","","","","",""
"171","171","V. Dei Mille civico 72","","40.7191","8.55777","","","","","",""
"172","172","V.le Trento Civico 32","","40.7271","8.56873","","","","","",""
"174","174","V. Ugo La Malfa Fr. edicola","","40.711","8.57737","","","","","",""
"175","175","V. Ugo La Malfa cabina ENEL","","40.7119","8.57982","","","","","",""
"176","176","V. Siglienti Fr. Capolinea","","40.712","8.58202","","","","","",""
"177","177","V. Carbonazzi lato centro commerciale","","40.7149","8.578","","","","","",""
"178","178","V. Coradduzza lato rifornitore ERG","","40.7158","8.57753","","","","","",""
"179","179","S.P. x Platamona lato Villa Fiorita 2","","40.8105","8.47585","","","","","",""
"18","18","Corso  Vico civico 9","","40.7273","8.55518","","","","","",""
"180","180","S.P. x Platamona Fr. Villa Fiorita 2","","40.8105","8.4757","","","","","",""
"181","181","Vie De Martini Fr. Civico 65","","40.7628","8.51404","","","","","",""
"182","182","V. Siglienti (Lato Centrale Enel)","","40.7134","8.58017","","","","","",""
"183","183","V. Forlanini Civico 29","","40.7139","8.57728","","","","","",""
"184","184","V. Forlanini Fr. Civico 4","","40.7146","8.57543","","","","","",""
"185","185","V. Forlanini Civico 5","","40.7161","8.57585","","","","","",""
"186","186","V. Duca degli Abruzzi Civico 19","","40.7161","8.56767","","","","","",""
"187","187","V. Napoli Civico 64","","40.7161","8.56433","","","","","",""
"188","188","V. Napoli Civico 4","","40.718","8.56167","","","","","",""
"189","189","V. Amendola Civico 45","","40.7207","8.55747","","","","","",""
"19","19","Corso  Vico civico 37","","40.7294","8.55549","","","","","",""
"190","190","V. Amendola Civico 49","","40.7215","8.55553","","","","","",""
"191","191","V. S. Anna Civico 34","","40.7231","8.55397","","","","","",""
"192","192","V. Delle Conce Fr. Civico 33","","40.7249","8.5548","","","","","",""
"193","193","Via Solari (Lato I.T.Femminile)","","40.7411","8.55648","","","","","",""
"194","194","V. Solari (Lato Pime)","","40.7418","8.55325","","","","","",""
"195","195","V. Cilea Civico 8","","40.7412","8.54978","","","","","",""
"196","196","V. Cilea Fr. Civico 9","","40.7431","8.54858","","","","","",""
"197","197","V. Leoncavallo Fr. (Tabacchino)","","40.744","8.5465","","","","","",""
"198","198","V. Donizetti Fr.(Scuole)","","40.745","8.54542","","","","","",""
"199","199","V. Coghinas Civico 8","","40.7473","8.54577","","","","","",""
"2","2","Via Piandanna Fr. civico 10","","40.7164","8.54397","","","","","",""
"20","20","Via  Bogino Civico 50","","40.7322","8.55853","","","","","",""
"200","200","V. Baratz civico 3","","40.7464","8.5475","","","","","",""
"2002","2002","Via delle Vigne 41","","40.8293","8.41465","","","","","",""
"2003","2003","Via delle Vigne 29","","40.8308","8.4101","","","","","",""
"2004","2004","Bancali 115 -Sc","","40.8313","8.40797","","","","","",""
"2005","2005","Via delle Vigne 5 (Scuola)","","40.8321","8.404","","","","","",""
"2006","2006","Via Sassari 71","","40.8331","8.40246","","","","","",""
"2007","2007","Corso Vittorio Emanuele (Comune)","","40.83691","8.401275","","","","","",""
"2008","2008","Via Mare 26/b","","40.8385","8.40274","","","","","",""
"2009","2009","Lungomare Balai 8","","40.8381","8.40503","","","","","",""
"201","201","V. Kennedy Fr. Civico 26","","40.7458","8.55015","","","","","",""
"2010","2010","Lungo Mare Balai (Istituto Nautico)","","40.8376","8.408","","","","","",""
"2011","2011","Lungo Mare Balai 50","","40.8382","8.41195","","","","","",""
"2012","2012","Lungo Mare Balai 66","","40.8396","8.41467","","","","","",""
"2013","2013","Via Balai 93","","40.8396","8.41664","","","","","",""
"2014","2014","Via Balai 71e","","40.8372","8.41303","","","","","",""
"2015","2015","Via Balai (Cimitero)","","40.8357","8.4093","","","","","",""
"2016","2016","Via Balai 49","","40.8349","8.40662","","","","","",""
"2018","2018","Via Sassari (Granai)","","40.8298","8.40488","","","","","",""
"2019","2019","Via Sassari 114 (Angolo Via Buonarrotii)","","40.828791","8.406449","","","","","",""
"202","202","V. Bottego  Fr. Civico 16","","40.7465","8.55188","","","","","",""
"2020","2020","Via Sassari 140","","40.8276","8.4081","","","","","",""
"2021","2021","Via Fattori 22","","40.8269","8.4079","","","","","",""
"2022","2022","Via dell'Industria (fronte A.S.L.)","","40.8225","8.40978","","","","","",""
"2024","2024","Via Sassari fr. 151(Esso)","","40.824851","8.412339","","","","","",""
"2025","2025","S.S. 131 20 (casa cantoniera)","","40.818","8.42542","","","","","",""
"2026","2026","S.S. 131 (Sporting Club)","","40.81","8.43743","","","","","",""
"2027","2027","S.S. 131 (Q8)","","40.8054","8.44433","","","","","",""
"2028","2028","Incrocio S.P. 56-S.S. 131","","40.8009","8.44972","","","","","",""
"2029","2029","S.P. 56 (incr. str. sterrata)","","40.8082","8.45444","","","","","",""
"203","203","V. Bottego fr: civ: 26","","40.7456","8.55495","","","","","",""
"2030","2030","S.P. 25 (Fiamma 2000)","","40.8103","8.45428","","","","","",""
"2031","2031","S.P. 25 fr. 28","","40.815","8.44033","","","","","",""
"2032","2032","S.P. 25 fr. 10","","40.8171","8.42938","","","","","",""
"2033","2033","S.S.131-(fr. casa cantoniera)","","40.8186","8.4247","","","","","",""
"2034","2034","Via dei Ginepri fr.1e","","40.8211","8.41992","","","","","",""
"2035","2035","Via dei Ginepri 8","","40.8221","8.42192","","","","","",""
"2036","2036","Via dei Ginepri 32","","40.8233","8.42418","","","","","",""
"2037","2037","Via Del Melo 23","","40.824","8.42385","","","","","",""
"2038","2038","Via degli Ulivi 9A","","40.8239","8.42148","","","","","",""
"2039","2039","Via dei Corbezzoli 5","","40.8244","8.41932","","","","","",""
"204","204","V. Gessi Civico 3","","40.744","8.5557","","","","","",""
"2043","2043","Via della Cultura snc","","40.8307","8.41964","","","","","",""
"2044","2044","Via della Cultura 3","","40.8322","8.41629","","","","","",""
"2045","2045","Via della Libertŕ 33","","40.8317","8.4143","","","","","",""
"2048","2048","Piazzale Lazio fr. pensilina","","40.8255","8.41631","","","","","",""
"2049","2049","Via Cellini 3","","40.8254","8.4125","","","","","",""
"205","205","V. Kennedy (Lato Scuole)","","40.7416","8.55797","","","","","",""
"2050","2050","Via Sassari 153","","40.8269","8.40955","","","","","",""
"2051","2051","Via Sassari 135","","40.828798","8.406693","","","","","",""
"2052","2052","Via Sassari 113","","40.8298","8.40513","","","","","",""
"2054","2054","Via Monte Angellu 75","","40.8308","8.40121","","","","","",""
"2055","2055","Via Monte Angellu 55","","40.8325","8.3996","","","","","",""
"2057","2057","Corso Vittorio Emanuele 119","","40.8341","8.40123","","","","","",""
"2058","2058","Via delle Vigne 36","","40.8311","8.40809","","","","","",""
"2059","2059","Via delle Vigne 54","","40.8307","8.40999","","","","","",""
"206","206","V. Bogino Civico 23","","40.7323","8.55872","","","","","",""
"2060","2060","Via della Libertŕ 8","","40.8322","8.41591","","","","","",""
"2061","2061","Via della Libertŕ 22","","40.8345","8.41795","","","","","",""
"2062","2062","Via Tramontana 12","","40.8339","8.42063","","","","","",""
"2063","2063","Via Sacchi 81","","40.8344","8.4037","","","","","",""
"2064","2064","Via Sacchi 27","","40.8363","8.4037","","","","","",""
"2065","2065","Via Mare fr 12","","40.8385","8.40323","","","","","",""
"2066","2066","Corso Vittorio Emanuele (Chiesa)","","40.836947","8.401138","","","","","",""
"2067","2067","Viale della Libertŕ (Rifornitore Conad)","","40.8305","8.41296","","","","","",""
"2068","2068","Via Scirocco (Supermercato EUROSPIN)","","40.8318","8.42128","","","","","",""
"2069","2069","Litoranea per Platamona ( fr Spiaggia Ba","","40.8376","8.41715","","","","","",""
"207","207","V. Dei Gremi Civico","","40.7243","8.55278","","","","","",""
"2070","2070","Litoranea per Platamona ( lato Sp. Balai","","40.8376","8.4172","","","","","",""
"2071","2071","Litoranea per Platamona (fronte chiesa B","","40.829677","8.430412","","","","","",""
"2072","2072","Litoranea per Platamona (lato chiesa Bal","","40.82988","8.430355","","","","","",""
"2073","2073","Litoranea per Platamona (lato Forestale)","","40.822583","8.445736","","","","","",""
"2074","2074","Litoranea per Platamona (fronte Forestal","","40.822958","8.445372","","","","","",""
